scenario,seed,tick,warmup,cpi,cpi_food,cpi_leisure,cpi_clothing,cpi_hobby,cpi_electronics,cpi_appliances,money_stock,loans_outstanding,loans_live,pool,money_created,money_destroyed,rationed,abstainer_households,abstainer_cash,abstainer_loans_outstanding,abstainer_debt_service,abstainer_spend,abstainer_quality,abstainer_wanted,abstainer_obtained,abstainer_wait_median,abstainer_wait_median_met,abstainer_food_wanted,abstainer_food_obtained,abstainer_food_spend,abstainer_food_budget_units,abstainer_food_standard_units,abstainer_food_premium_units,abstainer_leisure_wanted,abstainer_leisure_obtained,abstainer_leisure_spend,abstainer_leisure_budget_units,abstainer_leisure_standard_units,abstainer_leisure_premium_units,abstainer_clothing_wanted,abstainer_clothing_obtained,abstainer_clothing_spend,abstainer_clothing_budget_units,abstainer_clothing_standard_units,abstainer_clothing_premium_units,abstainer_hobby_wanted,abstainer_hobby_obtained,abstainer_hobby_spend,abstainer_hobby_budget_units,abstainer_hobby_standard_units,abstainer_hobby_premium_units,abstainer_electronics_wanted,abstainer_electronics_obtained,abstainer_electronics_spend,abstainer_electronics_budget_units,abstainer_electronics_standard_units,abstainer_electronics_premium_units,abstainer_appliances_wanted,abstainer_appliances_obtained,abstainer_appliances_spend,abstainer_appliances_budget_units,abstainer_appliances_standard_units,abstainer_appliances_premium_units,borrower_households,borrower_cash,borrower_loans_outstanding,borrower_debt_service,borrower_spend,borrower_quality,borrower_wanted,borrower_obtained,borrower_wait_median,borrower_wait_median_met,borrower_food_wanted,borrower_food_obtained,borrower_food_spend,borrower_food_budget_units,borrower_food_standard_units,borrower_food_premium_units,borrower_leisure_wanted,borrower_leisure_obtained,borrower_leisure_spend,borrower_leisure_budget_units,borrower_leisure_standard_units,borrower_leisure_premium_units,borrower_clothing_wanted,borrower_clothing_obtained,borrower_clothing_spend,borrower_clothing_budget_units,borrower_clothing_standard_units,borrower_clothing_premium_units,borrower_hobby_wanted,borrower_hobby_obtained,borrower_hobby_spend,borrower_hobby_budget_units,borrower_hobby_standard_units,borrower_hobby_premium_units,borrower_electronics_wanted,borrower_electronics_obtained,borrower_electronics_spend,borrower_electronics_budget_units,borrower_electronics_standard_units,borrower_electronics_premium_units,borrower_appliances_wanted,borrower_appliances_obtained,borrower_appliances_spend,borrower_appliances_budget_units,borrower_appliances_standard_units,borrower_appliances_premium_units
credit_off,2,12,1,1.047331,1.060813,1.021620,1.070599,0.999121,1.067103,1.229088,16418875.25,0.00,0,15400680.98,0.00,0.00,0,193,199355.26,0.00,0.00,128225.63,418.560000,472,432,0.000000,0.000000,193,193,63712.06,70,79,44,193,192,40163.04,71,80,41,48,35,15175.67,16,10,9,22,6,3794.07,3,1,2,11,3,2603.39,1,2,0,5,3,2777.40,1,2,0,807,818839.01,0.00,0.00,535470.62,1722.360000,2100,1821,1.000000,0.000000,807,805,254162.94,328,321,156,807,792,158287.68,329,320,143,235,132,56169.03,51,57,24,159,67,42421.32,20,32,15,60,18,17374.35,6,9,3,32,7,7055.30,3,2,2
credit_off,2,13,1,1.048203,1.061747,1.020730,1.073591,1.002517,1.060451,1.262285,16418875.25,0.00,0,15359200.71,0.00,0.00,0,193,199680.96,0.00,0.00,129794.18,416.360000,489,429,0.000000,0.000000,193,181,59365.62,62,82,37,193,191,39849.30,70,81,40,56,42,18636.74,14,19,9,25,8,5272.62,2,4,2,17,5,4441.73,3,1,1,5,2,2228.17,1,0,1,807,859993.58,0.00,0.00,485480.56,1625.480000,2033,1741,1.000000,0.000000,807,782,238412.48,338,318,126,807,798,160274.99,330,319,149,185,93,38401.17,44,32,17,134,45,25527.03,19,20,6,70,16,15721.23,8,3,5,30,7,7143.66,2,4,1
credit_off,2,14,1,1.044767,1.060500,1.019990,1.062703,0.983171,1.058196,1.267133,16418875.25,0.00,0,15357668.04,0.00,0.00,0,193,197809.42,0.00,0.00,131991.42,424.800000,480,432,0.000000,0.000000,193,193,64488.63,72,72,49,193,193,41082.20,71,76,46,35,24,11494.01,5,12,7,36,17,10706.56,5,8,4,17,5,4220.02,2,3,0,6,0,0.00,0,0,0,807,863397.79,0.00,0.00,523230.92,1706.960000,2074,1808,1.000000,0.000000,807,807,253661.37,328,328,151,807,799,161964.92,321,324,154,202,117,48524.79,52,43,22,145,54,29193.84,28,18,8,78,23,22827.48,9,8,6,35,8,7058.52,4,4,0
credit_off,2,15,1,1.047208,1.065367,1.021630,1.054591,0.977531,1.080911,1.272370,16418875.25,0.00,0,15344222.23,0.00,0.00,0,193,207812.71,0.00,0.00,120116.59,394.440000,476,407,1.000000,0.000000,193,178,57905.14,65,77,36,193,192,39996.94,66,89,37,32,19,8367.78,4,12,3,34,12,7501.92,2,8,2,16,4,4531.22,0,3,1,8,2,1813.59,1,1,0,807,866840.31,0.00,0.00,523192.61,1693.440000,2090,1792,1.000000,0.000000,807,775,245985.24,335,276,164,807,800,162741.93,333,304,163,202,123,47848.03,59,49,15,159,71,41413.75,31,25,15,80,17,18344.77,4,8,5,35,6,6858.89,1,3,2
credit_off,2,16,1,1.047265,1.064487,1.022960,1.044052,0.987512,1.087432,1.281235,16418875.25,0.00,0,15355969.04,0.00,0.00,0,193,202274.05,0.00,0.00,135658.54,431.840000,494,444,0.000000,0.000000,193,193,64186.63,65,86,42,193,192,40942.97,63,88,41,46,32,12983.21,13,14,5,38,20,12079.20,7,9,4,17,5,3997.71,3,2,0,7,2,1468.82,2,0,0,807,860632.16,0.00,0.00,532843.28,1724.280000,2101,1825,1.000000,0.000000,807,805,254041.39,335,314,156,807,800,161213.53,335,312,153,202,131,55491.31,50,53,28,149,63,37335.92,26,24,13,97,19,17515.49,8,9,2,39,7,7245.64,2,4,1
credit_off,2,17,1,1.050524,1.066193,1.022770,1.055388,1.001012,1.093248,1.289483,16418875.25,0.00,0,15371293.29,0.00,0.00,0,193,196655.89,0.00,0.00,135738.04,426.600000,483,431,1.000000,0.000000,193,192,64699.32,60,90,42,193,188,40539.67,65,78,45,41,29,12900.83,11,10,8,33,16,10330.66,3,10,3,17,5,5770.53,1,2,2,6,1,1497.03,0,0,1,807,850926.07,0.00,0.00,536341.22,1717.400000,2105,1821,1.000000,0.000000,807,806,254785.84,338,310,158,807,784,158140.21,335,294,155,211,138,57430.21,56,57,25,145,65,38997.40,28,23,14,98,23,22172.90,10,9,4,37,5,4814.66,3,1,1
credit_off,2,18,1,1.052394,1.068467,1.021690,1.058667,1.005523,1.110097,1.273815,16418875.25,0.00,0,15356697.16,0.00,0.00,0,193,191588.87,0.00,0.00,135186.90,419.480000,497,433,0.000000,0.000000,193,183,59651.58,64,84,35,193,186,38913.29,64,85,37,47,35,15074.56,14,13,8,37,22,13951.74,7,10,5,19,5,5015.17,2,2,1,8,2,2580.56,0,1,1,807,870589.22,0.00,0.00,506971.98,1666.480000,2080,1774,1.000000,0.000000,807,785,245183.60,336,306,143,807,790,158369.78,336,304,150,205,132,55475.00,53,54,25,131,49,30620.48,19,18,12,94,16,15854.52,5,9,2,36,2,1468.60,2,0,0
credit_off,2,19,1,1.049930,1.066780,1.020320,1.060105,1.000808,1.095421,1.235430,16418875.25,0.00,0,15343725.83,0.00,0.00,0,193,189020.73,0.00,0.00,132688.02,427.040000,497,446,0.000000,0.000000,193,193,62776.29,74,78,41,193,191,39141.20,69,87,35,54,43,18244.63,21,11,11,32,15,9427.97,6,5,4,18,3,2381.99,2,1,0,7,1,715.94,1,0,0,807,886128.69,0.00,0.00,511095.66,1672.680000,2061,1773,2.000000,0.000000,807,802,254462.86,326,322,154,807,796,160183.00,331,313,152,166,94,39134.36,44,30,20,137,52,29724.82,23,21,8,99,20,18423.12,9,9,2,45,9,9167.50,3,4,2
credit_off,2,20,0,1.048039,1.067447,1.019850,1.050152,0.989888,1.082673,1.260425,16418875.25,0.00,0,15332333.64,0.00,0.00,0,193,193299.09,0.00,0.00,125841.52,405.800000,484,425,0.500000,0.000000,193,190,60115.56,84,66,40,193,189,38994.92,71,80,38,35,24,10105.60,8,12,4,33,16,10158.55,5,7,4,20,5,4895.99,2,2,1,10,1,1570.90,0,0,1,807,893242.52,0.00,0.00,519521.30,1703.920000,2083,1794,2.000000,0.000000,807,807,259556.93,313,334,160,807,797,162587.60,323,312,162,189,117,44350.24,53,55,9,137,53,32056.88,23,17,13,97,15,15624.43,6,4,5,46,5,5345.22,1,3,1
credit_off,2,21,0,1.047215,1.068667,1.020640,1.043317,0.983587,1.074509,1.250445,16418875.25,0.00,0,15332838.74,0.00,0.00,0,193,201181.19,0.00,0.00,122237.78,405.040000,476,418,1.000000,0.000000,193,193,62496.65,69,88,36,193,192,39656.14,64,94,34,30,17,8156.51,4,7,6,30,13,8725.27,5,3,5,19,2,2514.12,0,1,1,11,1,689.09,1,0,0,807,884855.32,0.00,0.00,535022.33,1719.480000,2127,1821,1.000000,0.000000,807,805,256983.19,331,312,162,807,795,159729.72,336,306,153,195,123,50182.74,60,36,27,154,68,39751.44,26,30,12,111,23,22281.13,10,8,5,53,7,6094.11,3,4,0
