scenario,seed,tick,warmup,cpi,cpi_food,cpi_leisure,cpi_clothing,cpi_hobby,cpi_electronics,cpi_appliances,money_stock,loans_outstanding,loans_live,pool,money_created,money_destroyed,rationed,abstainer_households,abstainer_cash,abstainer_loans_outstanding,abstainer_debt_service,abstainer_spend,abstainer_quality,abstainer_wanted,abstainer_obtained,abstainer_wait_median,abstainer_wait_median_met,abstainer_food_wanted,abstainer_food_obtained,abstainer_food_spend,abstainer_food_budget_units,abstainer_food_standard_units,abstainer_food_premium_units,abstainer_leisure_wanted,abstainer_leisure_obtained,abstainer_leisure_spend,abstainer_leisure_budget_units,abstainer_leisure_standard_units,abstainer_leisure_premium_units,abstainer_clothing_wanted,abstainer_clothing_obtained,abstainer_clothing_spend,abstainer_clothing_budget_units,abstainer_clothing_standard_units,abstainer_clothing_premium_units,abstainer_hobby_wanted,abstainer_hobby_obtained,abstainer_hobby_spend,abstainer_hobby_budget_units,abstainer_hobby_standard_units,abstainer_hobby_premium_units,abstainer_electronics_wanted,abstainer_electronics_obtained,abstainer_electronics_spend,abstainer_electronics_budget_units,abstainer_electronics_standard_units,abstainer_electronics_premium_units,abstainer_appliances_wanted,abstainer_appliances_obtained,abstainer_appliances_spend,abstainer_appliances_budget_units,abstainer_appliances_standard_units,abstainer_appliances_premium_units,borrower_households,borrower_cash,borrower_loans_outstanding,borrower_debt_service,borrower_spend,borrower_quality,borrower_wanted,borrower_obtained,borrower_wait_median,borrower_wait_median_met,borrower_food_wanted,borrower_food_obtained,borrower_food_spend,borrower_food_budget_units,borrower_food_standard_units,borrower_food_premium_units,borrower_leisure_wanted,borrower_leisure_obtained,borrower_leisure_spend,borrower_leisure_budget_units,borrower_leisure_standard_units,borrower_leisure_premium_units,borrower_clothing_wanted,borrower_clothing_obtained,borrower_clothing_spend,borrower_clothing_budget_units,borrower_clothing_standard_units,borrower_clothing_premium_units,borrower_hobby_wanted,borrower_hobby_obtained,borrower_hobby_spend,borrower_hobby_budget_units,borrower_hobby_standard_units,borrower_hobby_premium_units,borrower_electronics_wanted,borrower_electronics_obtained,borrower_electronics_spend,borrower_electronics_budget_units,borrower_electronics_standard_units,borrower_electronics_premium_units,borrower_appliances_wanted,borrower_appliances_obtained,borrower_appliances_spend,borrower_appliances_budget_units,borrower_appliances_standard_units,borrower_appliances_premium_units
credit_off,3,31,0,1.045511,1.083773,1.005720,1.052534,0.958155,1.004911,1.223080,16196556.50,0.00,0,15028116.74,0.00,0.00,0,195,223537.99,0.00,0.00,125453.78,403.080000,538,439,1.000000,0.000000,195,185,56142.01,85,74,26,195,190,36755.60,84,73,33,62,37,14375.56,19,13,5,39,19,11768.92,8,5,6,28,8,6411.69,5,2,1,19,0,0.00,0,0,0,805,944901.77,0.00,0.00,514401.00,1669.040000,2136,1772,2.000000,0.000000,805,765,240997.99,315,326,124,805,787,156151.18,316,327,144,222,130,55765.28,48,54,28,129,63,35810.75,24,28,11,115,18,17415.10,6,7,5,60,9,8260.70,4,4,1
credit_off,3,32,0,1.049048,1.083787,1.005380,1.075901,0.967660,1.011402,1.243740,16196556.50,0.00,0,15031813.33,0.00,0.00,0,195,229550.23,0.00,0.00,119929.53,397.920000,518,426,2.000000,0.000000,195,193,61017.24,78,84,31,195,191,37671.43,81,74,36,49,22,9584.11,9,8,5,33,14,6634.66,9,4,1,26,5,4044.72,2,3,0,20,1,977.37,0,1,0,805,935192.94,0.00,0.00,531629.32,1712.160000,2117,1780,2.000000,0.000000,805,801,262938.68,316,316,169,805,787,160624.97,299,324,164,200,110,48018.58,46,38,26,127,56,36155.59,15,25,16,126,21,18916.54,9,8,4,54,5,4974.96,2,2,1
credit_off,3,33,0,1.050321,1.089280,1.005940,1.065315,0.963037,1.019383,1.218763,16196556.50,0.00,0,15018076.30,0.00,0.00,0,195,228584.43,0.00,0.00,126907.57,408.360000,523,429,2.000000,0.000000,195,187,60992.33,75,75,37,195,189,37931.28,77,74,38,55,32,14058.02,11,14,7,34,16,7740.78,9,6,1,23,3,3771.31,0,1,2,21,2,2413.85,0,1,1,805,949895.77,0.00,0.00,507217.66,1646.880000,2140,1750,2.000000,0.000000,805,777,251119.93,325,300,152,805,776,153771.92,323,306,147,213,114,44827.05,50,53,11,129,56,33017.92,21,23,12,134,25,22284.13,11,10,4,54,2,2196.71,1,0,1
credit_off,3,34,0,1.048714,1.087853,1.004080,1.060160,0.955605,1.045019,1.195688,16196556.50,0.00,0,15018313.07,0.00,0.00,0,195,232980.01,0.00,0.00,121546.19,402.080000,512,426,3.500000,0.000000,195,193,63093.46,74,82,37,195,192,38028.34,77,80,35,43,18,6887.95,11,4,3,36,19,10279.18,7,10,2,22,1,679.38,1,0,0,21,3,2577.88,1,2,0,805,945263.42,0.00,0.00,526552.84,1703.040000,2165,1788,2.000000,0.000000,805,802,262276.09,321,318,163,805,791,159727.30,318,308,165,228,111,45891.21,56,30,25,131,58,31573.51,26,23,9,131,21,21955.03,4,11,6,65,5,5129.70,3,0,2
credit_off,3,35,0,1.048957,1.090407,1.004570,1.052658,0.953105,1.039852,1.202078,16196556.50,0.00,0,15013473.71,0.00,0.00,0,195,238244.59,0.00,0.00,120677.19,397.160000,522,421,4.000000,0.000000,195,187,59370.16,76,81,30,195,192,38235.82,80,74,38,54,25,10905.80,9,10,6,29,11,6081.06,5,4,2,28,5,5178.61,2,1,2,21,1,905.74,0,1,0,805,944838.20,0.00,0.00,522345.71,1683.520000,2171,1774,2.000000,0.000000,805,768,248251.79,324,293,151,805,797,160160.00,316,323,158,213,109,45899.01,35,57,17,144,70,40893.85,26,29,15,136,23,21400.00,9,10,4,68,7,5741.06,4,3,0
credit_off,3,36,0,1.049111,1.088587,1.003950,1.051639,0.956860,1.059869,1.219395,16196556.50,0.00,0,15027528.27,0.00,0.00,0,195,230960.16,0.00,0.00,133226.20,423.080000,537,445,1.000000,0.000000,195,195,64401.66,76,78,41,195,190,38172.90,74,79,37,61,40,15971.87,20,13,7,32,11,5412.60,8,1,2,32,7,6445.85,3,3,1,22,2,2821.32,0,0,2,805,938068.07,0.00,0.00,528690.62,1712.040000,2172,1791,2.000000,0.000000,805,799,260984.84,318,322,159,805,789,160135.11,305,321,163,231,127,54109.33,47,54,26,135,51,28943.27,25,14,12,129,20,19965.51,7,8,5,67,5,4552.56,1,4,0
credit_off,3,37,0,1.050662,1.089893,1.003600,1.065850,0.947993,1.064332,1.228020,16196556.50,0.00,0,15020446.11,0.00,0.00,0,195,238477.03,0.00,0.00,118424.90,392.480000,537,426,2.000000,0.000000,195,184,56765.96,84,72,28,195,192,35961.94,83,84,25,58,31,12973.02,12,14,5,38,18,11242.78,7,5,6,28,0,0.00,0,0,0,23,1,1481.20,0,0,1,805,937633.36,0.00,0.00,522355.20,1679.160000,2181,1771,2.000000,0.000000,805,766,247523.80,316,304,146,805,785,156543.84,317,316,152,234,133,56739.70,55,50,28,139,62,35099.18,23,28,11,124,17,18869.71,3,8,6,74,8,7578.97,3,4,1
credit_off,3,38,0,1.049454,1.087587,1.001730,1.069443,0.953415,1.053920,1.232503,16196556.50,0.00,0,15010712.78,0.00,0.00,0,195,236312.93,0.00,0.00,128105.87,414.520000,527,429,2.000000,0.000000,195,195,66111.34,71,78,46,195,191,37847.34,74,83,34,49,24,10759.51,5,15,4,33,14,8039.86,4,8,2,31,2,2493.47,0,1,1,24,3,2854.35,0,3,0,805,949530.79,0.00,0.00,510023.06,1672.640000,2156,1770,3.000000,0.000000,805,801,259367.78,325,322,154,805,788,155877.70,325,313,150,211,104,44910.36,34,52,18,132,53,27720.87,23,25,5,129,21,19686.02,9,8,4,74,3,2460.33,2,1,0
credit_off,3,39,0,1.046991,1.089207,1.000070,1.057741,0.943216,1.044613,1.204095,16196556.50,0.00,0,15010028.74,0.00,0.00,0,195,237605.36,0.00,0.00,124649.34,412.400000,532,436,3.000000,0.000000,195,195,62998.23,77,83,35,195,193,38618.53,76,79,38,57,33,13522.05,15,12,6,29,10,5885.01,3,5,2,33,4,2889.94,3,1,0,23,1,735.58,1,0,0,805,948922.40,0.00,0.00,522528.88,1699.640000,2175,1781,4.000000,0.000000,805,801,262967.29,319,317,165,805,793,159133.07,317,314,162,221,105,44033.29,52,27,26,143,58,34359.90,22,21,15,128,20,17738.66,8,10,2,73,4,4296.67,0,3,1
credit_off,3,40,0,1.046391,1.090807,0.999510,1.050555,0.942893,1.043327,1.175345,16196556.50,0.00,0,14987326.57,0.00,0.00,0,195,244456.02,0.00,0.00,119091.11,392.280000,518,419,4.000000,0.000000,195,183,58144.84,77,75,31,195,193,37967.25,73,88,32,42,23,8928.28,8,14,1,28,10,5488.09,3,6,1,35,6,5035.97,4,1,1,23,4,3526.68,1,3,0,805,964773.91,0.00,0.00,506068.98,1642.400000,2192,1732,3.000000,0.000000,805,746,244007.19,323,258,165,805,785,156679.53,327,295,163,227,114,46252.38,45,53,16,148,61,34004.32,30,17,14,130,21,20655.74,7,9,5,77,5,4469.82,3,1,1
credit_off,3,41,0,1.044311,1.088807,0.998340,1.041359,0.936634,1.050966,1.201870,16196556.50,0.00,0,14987630.17,0.00,0.00,0,195,243203.08,0.00,0.00,127194.71,409.760000,530,428,4.000000,0.000000,195,186,59231.73,71,87,28,195,191,38810.94,70,82,39,44,26,11223.34,9,11,6,38,19,11491.37,6,8,5,34,4,4091.44,1,2,1,24,2,2345.89,0,1,1,805,965723.25,0.00,0.00,520971.15,1691.480000,2189,1791,4.000000,0.000000,805,775,245765.66,329,313,133,805,796,158618.60,320,318,158,222,130,55111.19,47,56,27,150,64,35377.79,27,25,12,130,18,18828.84,4,9,5,77,8,7269.07,4,3,1
credit_off,3,42,0,1.046032,1.090813,0.997940,1.042864,0.948157,1.043254,1.216530,16196556.50,0.00,0,14977563.73,0.00,0.00,0,195,242029.34,0.00,0.00,127115.51,406.800000,543,432,3.000000,0.000000,195,189,60643.70,83,69,37,195,186,37502.52,68,82,36,58,34,13061.65,18,11,5,34,13,6378.05,7,5,1,39,9,8786.19,3,4,2,22,1,743.40,1,0,0,805,976963.43,0.00,0.00,510680.31,1662.760000,2184,1747,4.000000,0.000000,805,761,249506.30,317,281,163,805,780,155123.64,332,284,164,219,128,54590.87,47,53,28,153,61,35858.54,26,19,16,124,13,12383.79,7,2,4,78,4,3217.17,3,1,0
credit_off,3,43,0,1.047608,1.095393,0.997650,1.046523,0.947979,1.032504,1.185103,16196556.50,0.00,0,14955347.67,0.00,0.00,0,195,244550.57,0.00,0.00,123420.54,398.000000,541,432,2.000000,0.000000,195,186,56676.15,81,84,21,195,190,36088.35,78,85,27,55,30,11642.68,13,14,3,40,19,12222.61,5,8,6,35,7,6790.75,3,2,2,21,0,0.00,0,0,0,805,996658.26,0.00,0.00,502225.66,1636.960000,2196,1750,4.000000,0.000000,805,747,234531.06,319,316,112,805,783,153885.54,322,315,146,224,131,55981.73,51,50,30,155,64,35214.27,28,25,11,126,18,16752.42,8,6,4,81,7,5860.64,4,3,0
credit_off,3,44,0,1.048306,1.096213,0.996520,1.048505,0.960471,1.026935,1.162478,16196556.50,0.00,0,14959307.38,0.00,0.00,0,195,248117.06,0.00,0.00,122375.28,404.880000,528,430,5.000000,0.000000,195,192,62129.72,82,73,37,195,193,38541.79,77,77,39,49,28,11198.92,12,12,4,35,11,5531.79,6,4,1,32,6,4973.06,4,1,1,22,0,0.00,0,0,0,805,989132.06,0.00,0.00,529446.69,1702.680000,2166,1769,6.000000,0.000000,805,795,264080.07,305,327,163,805,788,158087.40,309,318,161,197,101,44841.89,39,33,29,147,60,38082.72,15,29,16,128,19,18766.61,6,8,5,84,6,5588.00,2,3,1
credit_off,3,45,0,1.051555,1.105013,0.998150,1.038139,0.963431,1.022025,1.139278,16196556.50,0.00,0,14944828.57,0.00,0.00,0,195,249017.69,0.00,0.00,125041.14,407.320000,541,433,3.000000,0.000000,195,189,61354.00,79,76,34,195,189,37662.35,75,77,37,54,35,13960.99,16,13,6,40,15,7410.52,8,6,1,31,4,3416.63,1,3,0,26,1,1236.65,0,0,1,805,1002710.24,0.00,0.00,508342.31,1653.920000,2169,1752,6.000000,0.000000,805,785,255568.68,321,324,140,805,782,154751.00,314,320,148,201,106,41485.71,41,54,11,143,55,32440.24,21,22,12,132,19,19539.57,5,8,6,83,5,4557.11,2,2,1
credit_off,3,46,0,1.048657,1.104093,0.996320,1.028774,0.955084,1.015832,1.133985,16196556.50,0.00,0,14941112.90,0.00,0.00,0,195,253412.87,0.00,0.00,121546.59,401.960000,532,427,4.000000,0.000000,195,193,64038.22,71,87,35,195,192,37552.22,74,86,32,42,18,6423.55,11,5,2,44,20,10439.16,9,9,2,30,4,3093.44,2,2,0,26,0,0.00,0,0,0,805,1002030.73,0.00,0.00,522600.00,1695.560000,2187,1783,5.000000,0.000000,805,801,265964.34,323,313,165,805,789,158548.66,316,306,167,209,109,42238.04,56,34,19,146,58,32431.44,24,24,10,134,17,15248.84,9,4,4,88,9,8168.68,4,3,2
credit_off,3,47,0,1.047806,1.106800,0.995550,1.017288,0.952846,1.004550,1.128340,16196556.50,0.00,0,14949284.96,0.00,0.00,0,195,258050.73,0.00,0.00,121303.91,403.200000,529,426,5.000000,0.000000,195,192,63624.33,71,87,34,195,191,37416.81,78,78,35,50,28,11303.54,9,15,4,35,12,6445.12,6,4,2,28,1,906.67,0,1,0,26,2,1607.44,1,1,0,805,989220.81,0.00,0.00,534730.41,1710.280000,2225,1809,3.000000,0.000000,805,799,263367.21,329,313,157,805,789,156870.54,322,307,160,230,120,43954.42,58,52,10,158,69,40510.81,25,29,15,135,24,22608.15,9,9,6,92,8,7419.28,3,3,2
credit_off,3,48,0,1.048279,1.106253,0.994450,1.022643,0.956772,1.000324,1.159090,16196556.50,0.00,0,14944888.81,0.00,0.00,0,195,257324.50,0.00,0.00,126668.00,413.920000,540,436,5.000000,0.000000,195,191,63754.46,72,82,37,195,192,37908.90,69,91,32,56,37,13989.70,19,13,5,34,11,5936.80,4,6,1,33,3,3272.02,0,2,1,27,2,1806.12,0,2,0,805,994343.19,0.00,0.00,516798.11,1679.800000,2213,1777,4.000000,0.000000,805,789,260565.43,328,301,160,805,786,153237.76,331,309,146,238,130,54159.26,48,54,28,140,47,24381.57,21,22,4,131,20,19187.75,6,9,5,94,5,5266.34,1,2,2
